raw_log,user_id,timestamp,action,amount,currency,location,device,date,amount_in_dollars,hour,day,month,year,txn_time_diff_hours,is_same_location,is_atm,transaction_risk,device_type,is_same_device,hour_risk,avg_prev_amount,amount_difference_from_avg
10/06/2025 07:08:58 ::: user1000 *** top-up ::: amt:536.81£ @ leeds <iphone 13>,user1000,2025-06-10 07:08:58,top-up,536.81,£,leeds,iphone 13,2025-06-10,713.9572999999999,7,10,6,2025,8.634166666666667,False,False,low,smart,False,Low,3014.21819,-2300.26089
10/06/2025 18:10:07 ::: user1000 *** cashout ::: amt:4674.8€ @ leeds <samsung galaxy s10>,user1000,2025-06-10 18:10:07,cashout,4674.8,€,leeds,samsung galaxy s10,2025-06-10,7479.68,18,10,6,2025,11.019166666666667,True,False,high,smart,False,Low,2805.1035636363636,4674.576436363637
user1000 2025-06-10 21:15:16 purchase 414.44 none none,user1000,2025-06-10 21:15:16,purchase,414.44,none,none,none,2025-06-10,414.44,21,10,6,2025,3.0858333333333334,False,False,moderate,non-smart,False,Low,3194.6515999999997,-2780.2115999999996
2025-06-11 01:58:58 >> [user1000] did deposit - amt=£3443.9 - liverpool // dev:pixel 6,user1000,2025-06-11 01:58:58,deposit,3443.9,£,liverpool,pixel 6,2025-06-11,4580.387000000001,1,11,6,2025,4.7283333333333335,False,False,low,smart,False,High,2980.7891692307694,1599.5978307692312
2025-06-11 17:23:13::user1000::purchase::3451.51::birmingham::xiaomi mi 11,user1000,2025-06-11 17:23:13,purchase,3451.51,none,birmingham,xiaomi mi 11,2025-06-11,3451.51,17,11,6,2025,15.404166666666667,False,False,moderate,smart,False,Low,3095.0461571428573,356.46384285714294
user1000 2025-06-13 01:56:24 top-up 2676.48 glasgow xiaomi mi 11,user1000,2025-06-13 01:56:24,top-up,2676.48,none,glasgow,xiaomi mi 11,2025-06-13,2676.48,1,13,6,2025,32.55305555555555,False,False,low,smart,False,High,3118.8104133333336,-442.3304133333336
2025-06-14 21:24:18 >> [user1000] did cashout - amt=€3121.69 - birmingham // dev:huawei p30,user1000,2025-06-14 21:24:18,cashout,3121.69,€,birmingham,huawei p30,2025-06-14,4994.704000000001,21,14,6,2025,43.465,False,False,high,smart,False,Low,3091.1647625,1903.5392375000006
2025-06-18 07:31:05 - user=user1000 - action=deposit €4537.72 - atm: cardiff - device=none,user1000,2025-06-18 07:31:05,deposit,4537.72,€,cardiff,none,2025-06-18,7260.352000000001,7,18,6,2025,82.11305555555556,False,True,low,non-smart,False,Low,3203.13765882353,4057.214341176471
user1000 2025-06-20 02:01:24 deposit 320.17 london pixel 6,user1000,2025-06-20 02:01:24,deposit,320.17,none,london,pixel 6,2025-06-20,320.17,2,20,6,2025,42.50527777777778,False,False,low,smart,False,High,3428.5384555555556,-3108.3684555555556
2025-06-20 14:42:40 - user=user1000 - action=debit €1775.6 - atm: birmingham - device=none,user1000,2025-06-20 14:42:40,debit,1775.6,€,birmingham,none,2025-06-20,2840.96,14,20,6,2025,12.687777777777777,False,True,moderate,non-smart,False,Low,3264.940115789474,-423.980115789474
2025-06-21 11:15:04 >> [user1000] did top-up - amt=€4737.85 - liverpool // dev:none,user1000,2025-06-21 11:15:04,top-up,4737.85,€,liverpool,none,2025-06-21,7580.560000000001,11,21,6,2025,20.54,False,False,low,non-smart,False,Low,3243.74111,4336.818890000001
22/06/2025 03:57:41 ::: user1000 *** withdrawal ::: amt:1798.45$ @ manchester <huawei p30>,user1000,2025-06-22 03:57:41,withdrawal,1798.45,$,manchester,huawei p30,2025-06-22,1798.45,3,22,6,2025,16.710277777777776,False,False,high,smart,False,High,3450.2562952380954,-1651.8062952380953
2025-06-22 12:54:09::user1000::top-up::3363.8::leeds::none,user1000,2025-06-22 12:54:09,top-up,3363.8,none,leeds,none,2025-06-22,3363.8,12,22,6,2025,8.94111111111111,False,False,low,non-smart,False,Low,3375.174190909091,-11.374190909090885
2025-06-22 13:10:57::user1000::debit::2182.71::london::xiaomi mi 11,user1000,2025-06-22 13:10:57,debit,2182.71,none,london,xiaomi mi 11,2025-06-22,2182.71,13,22,6,2025,0.28,False,False,moderate,smart,False,Low,3374.6796608695654,-1191.9696608695654
2025-06-22 14:05:49::user1000::top-up::507.91::birmingham::xiaomi mi 11,user1000,2025-06-22 14:05:49,top-up,507.91,none,birmingham,xiaomi mi 11,2025-06-22,507.91,14,22,6,2025,0.9144444444444444,False,False,low,smart,False,Low,3325.014258333333,-2817.1042583333333
2025-06-22 16:54:22::user1000::transfer::3273.93::leeds::nokia 3310,user1000,2025-06-22 16:54:22,transfer,3273.93,none,leeds,nokia 3310,2025-06-22,3273.93,16,22,6,2025,2.8091666666666666,False,False,high,non-smart,False,Low,3212.330088,61.59991199999968
2025-06-23 22:51:43 - user=user1000 - action=debit £940.66 - atm: cardiff - device=xiaomi mi 11,user1000,2025-06-23 22:51:43,debit,940.66,£,cardiff,xiaomi mi 11,2025-06-23,1251.0778,22,23,6,2025,29.955833333333334,False,True,moderate,smart,False,High,3214.6993153846156,-1963.6215153846156
24/06/2025 07:07:01 ::: user1000 *** top-up ::: amt:4299.36€ @ birmingham <samsung galaxy s10>,user1000,2025-06-24 07:07:01,top-up,4299.36,€,birmingham,samsung galaxy s10,2025-06-24,6878.976,7,24,6,2025,8.255,False,False,low,smart,False,Low,3141.9725925925927,3737.003407407407
25/06/2025 00:24:08 ::: user1000 *** top-up ::: amt:4696.81€ @ leeds <nokia 3310>,user1000,2025-06-25 00:24:08,top-up,4696.81,€,leeds,nokia 3310,2025-06-25,7514.896000000001,0,25,6,2025,17.28527777777778,False,False,low,non-smart,False,High,3275.4370000000004,4239.459000000001
2025-06-25 10:12:11::user1000::top-up::935.32::leeds::samsung galaxy s10,user1000,2025-06-25 10:12:11,top-up,935.32,none,leeds,samsung galaxy s10,2025-06-25,935.32,10,25,6,2025,9.800833333333333,True,False,low,smart,False,Low,3421.625241379311,-2486.3052413793107
2025-06-25 19:49:08::user1000::debit::3413.7::manchester::pixel 6,user1000,2025-06-25 19:49:08,debit,3413.7,none,manchester,pixel 6,2025-06-25,3413.7,19,25,6,2025,9.615833333333333,False,False,moderate,smart,False,Low,3338.7484,74.95159999999987
2025-06-25 22:14:35::user1000::deposit::2007.87::none::huawei p30,user1000,2025-06-25 22:14:35,deposit,2007.87,none,none,huawei p30,2025-06-25,2007.87,22,25,6,2025,2.424166666666667,False,False,low,smart,False,High,3341.166193548387,-1333.2961935483872
2025-06-26 12:29:52::user1000::top-up::406.29::birmingham::samsung galaxy s10,user1000,2025-06-26 12:29:52,top-up,406.29,none,birmingham,samsung galaxy s10,2025-06-26,406.29,12,26,6,2025,14.254722222222222,False,False,low,smart,False,Low,3299.5006875000004,-2893.2106875000004
2025-06-26 14:01:57 >> [user1000] did top-up - amt=£2461.89 - none // dev:iphone 13,user1000,2025-06-26 14:01:57,top-up,2461.89,£,none,iphone 13,2025-06-26,3274.3137,14,26,6,2025,1.5347222222222223,False,False,low,smart,False,Low,3211.8276363636364,62.486063636363724
27/06/2025 12:18:27 ::: user1000 *** deposit ::: amt:111.67$ @ london <xiaomi mi 11>,user1000,2025-06-27 12:18:27,deposit,111.67,$,london,xiaomi mi 11,2025-06-27,111.67,12,27,6,2025,22.275,False,False,low,smart,False,Low,3213.665461764706,-3101.995461764706
usr:user1000|refund|£3213.02|glasgow|2025-06-28 20:38:14|samsung galaxy s10,user1000,2025-06-28 20:38:14,refund,3213.02,£,glasgow,samsung galaxy s10,2025-06-28,4273.3166,20,28,6,2025,32.32972222222222,False,False,high,smart,False,Low,3125.03702,1148.27958
2025-06-29 14:29:07::user1000::purchase::4222.78::london::huawei p30,user1000,2025-06-29 14:29:07,purchase,4222.78,none,london,huawei p30,2025-06-29,4222.78,14,29,6,2025,17.848055555555554,False,False,moderate,smart,False,Low,3156.933675,1065.8463249999995
2025-06-29 22:12:13 >> [user1000] did withdrawal - amt=$4335.33 - liverpool // dev:huawei p30,user1000,2025-06-29 22:12:13,withdrawal,4335.33,$,liverpool,huawei p30,2025-06-29,4335.33,22,29,6,2025,7.718333333333334,False,False,high,smart,False,High,3185.7403324324328,1149.5896675675672
user1000 2025-06-30 04:17:02 deposit 4169.62 manchester pixel 6,user1000,2025-06-30 04:17:02,deposit,4169.62,none,manchester,pixel 6,2025-06-30,4169.62,4,30,6,2025,6.080277777777778,False,False,low,smart,False,High,3215.9926921052634,953.6273078947365
user1000 2025-06-30 23:11:48 purchase 1628.71 manchester pixel 6,user1000,2025-06-30 23:11:48,purchase,1628.71,none,manchester,pixel 6,2025-06-30,1628.71,23,30,6,2025,18.912777777777777,True,False,moderate,smart,False,High,3240.4446743589747,-1611.7346743589746
2025-07-01 04:10:24 >> [user1000] did transfer - amt=€4844.96 - leeds // dev:huawei p30,user1000,2025-07-01 04:10:24,transfer,4844.96,€,leeds,huawei p30,2025-07-01,7751.936000000001,4,1,7,2025,4.976666666666667,False,False,high,smart,False,High,3200.1513075000003,4551.7846925
2025-07-02 07:16:27 | user: user1000 | txn: transfer of £912.95 from liverpool | device: pixel 6,user1000,2025-07-02 07:16:27,transfer,912.95,£,liverpool,pixel 6,2025-07-02,1214.2235,7,2,7,2025,27.100833333333334,False,False,high,smart,False,Low,3311.1704463414635,-2096.9469463414634
2025-07-02 11:01:03::user1000::top-up::1536.51::liverpool::iphone 13,user1000,2025-07-02 11:01:03,top-up,1536.51,none,liverpool,iphone 13,2025-07-02,1536.51,11,2,7,2025,3.743333333333333,True,False,low,smart,False,Low,3261.2431380952385,-1724.7331380952385
2025-07-03 12:13:18 - user=user1000 - action=cashout €4282.02 - atm: birmingham - device=none,user1000,2025-07-03 12:13:18,cashout,4282.02,€,birmingham,none,2025-07-03,6851.232000000001,12,3,7,2025,25.204166666666666,False,True,high,non-smart,False,Low,3221.133065116279,3630.098934883722
2025-07-04 02:56:15::user1000::top-up::2787.48::leeds::iphone 13,user1000,2025-07-04 02:56:15,top-up,2787.48,none,leeds,iphone 13,2025-07-04,2787.48,2,4,7,2025,14.715833333333334,False,False,low,smart,False,High,3303.635313636364,-516.1553136363641
user1000 2025-07-04 03:40:31 deposit 3005.17 leeds samsung galaxy s10,user1000,2025-07-04 03:40:31,deposit,3005.17,none,leeds,samsung galaxy s10,2025-07-04,3005.17,3,4,7,2025,0.7377777777777778,True,False,low,smart,False,High,3292.1651955555553,-286.99519555555526
2025-07-04 22:11:46 | user: user1000 | txn: debit of £4102.31 from liverpool | device: nokia 3310,user1000,2025-07-04 22:11:46,debit,4102.31,£,liverpool,nokia 3310,2025-07-04,5456.072300000001,22,4,7,2025,18.520833333333332,False,False,moderate,non-smart,False,High,3285.9261695652176,2170.146130434783
2025-07-05 06:23:09::user1000::top-up::1541.58::birmingham::xiaomi mi 11,user1000,2025-07-05 06:23:09,top-up,1541.58,none,birmingham,xiaomi mi 11,2025-07-05,1541.58,6,5,7,2025,8.189722222222223,False,False,low,smart,False,High,3332.0994914893618,-1790.5194914893618
07/07/2025 19:23:01 ::: user1000 *** cashout ::: amt:2930.5$ @ cardiff <huawei p30>,user1000,2025-07-07 19:23:01,cashout,2930.5,$,cardiff,huawei p30,2025-07-07,2930.5,19,7,7,2025,60.99777777777778,False,False,high,smart,False,Low,3294.797002083333,-364.29700208333315
2025-07-08 04:12:26 - user=user1000 - action=cashout €3078.95 - atm: birmingham - device=samsung galaxy s10,user1000,2025-07-08 04:12:26,cashout,3078.95,€,birmingham,samsung galaxy s10,2025-07-08,4926.32,4,8,7,2025,8.823611111111111,False,True,high,smart,False,High,3287.3623693877553,1638.9576306122444
09/07/2025 03:32:31 ::: user1000 *** transfer ::: amt:4480.59£ @ birmingham <iphone 13>,user1000,2025-07-09 03:32:31,transfer,4480.59,£,birmingham,iphone 13,2025-07-09,5959.184700000001,3,9,7,2025,23.334722222222222,True,False,high,smart,False,High,3320.141522,2639.043178000001
usr:user1000|transfer|$319.82|manchester|2025-07-10 01:29:32|pixel 6,user1000,2025-07-10 01:29:32,transfer,319.82,$,manchester,pixel 6,2025-07-10,319.82,1,10,7,2025,21.950277777777778,False,False,high,smart,False,High,3371.887466666667,-3052.067466666667
2025-07-11 17:39:34 >> [user1000] did deposit - amt=$6.43 - manchester // dev:samsung galaxy s10,user1000,2025-07-11 17:39:34,deposit,6.43,$,manchester,samsung galaxy s10,2025-07-11,6.43,17,11,7,2025,40.16722222222222,True,False,low,smart,False,Low,3313.1938615384615,-3306.7638615384617
2025-07-11 23:58:44 | user: user1000 | txn: debit of $1008.51 from none | device: pixel 6,user1000,2025-07-11 23:58:44,debit,1008.51,$,none,pixel 6,2025-07-11,1008.51,23,11,7,2025,6.319444444444445,False,False,moderate,smart,False,High,3250.8020905660383,-2242.2920905660385
2025-07-12 06:18:49 | user: user1000 | txn: withdrawal of €3783.21 from manchester | device: none,user1000,2025-07-12 06:18:49,withdrawal,3783.21,€,manchester,none,2025-07-12,6053.136,6,12,7,2025,6.334722222222222,False,False,high,non-smart,False,High,3209.278162962963,2843.8578370370374
2025-07-12 06:56:10 | user: user1000 | txn: refund of $908.96 from leeds | device: iphone 13,user1000,2025-07-12 06:56:10,refund,908.96,$,leeds,iphone 13,2025-07-12,908.96,6,12,7,2025,0.6225,False,False,high,smart,False,High,3260.984669090909,-2352.024669090909
2025-07-12 15:22:08 | user: user1000 | txn: withdrawal of £4686.05 from manchester | device: none,user1000,2025-07-12 15:22:08,withdrawal,4686.05,£,manchester,none,2025-07-12,6232.446500000001,15,12,7,2025,8.432777777777778,False,False,high,non-smart,False,Low,3218.984228571429,3013.462271428572
2025-07-12 17:10:29::user1000::top-up::2763.2::cardiff::pixel 6,user1000,2025-07-12 17:10:29,top-up,2763.2,none,cardiff,pixel 6,2025-07-12,2763.2,17,12,7,2025,1.8058333333333334,False,False,low,smart,False,Low,3271.8519877192984,-508.65198771929863
2025-07-16 18:06:18 >> [user1000] did transfer - amt=$1149.68 - glasgow // dev:iphone 13,user1000,2025-07-16 18:06:18,transfer,1149.68,$,glasgow,iphone 13,2025-07-16,1149.68,18,16,7,2025,96.93027777777777,False,False,high,smart,False,Low,3263.0821258620695,-2113.4021258620696
16/07/2025 21:25:30 ::: user1000 *** top-up ::: amt:4662.26£ @ liverpool <nokia 3310>,user1000,2025-07-16 21:25:30,top-up,4662.26,£,liverpool,nokia 3310,2025-07-16,6200.805800000001,21,16,7,2025,3.32,False,False,low,non-smart,False,Low,3227.2617508474577,2973.5440491525433
18/07/2025 22:24:48 ::: user1000 *** refund ::: amt:1665.75$ @ glasgow <iphone 13>,user1000,2025-07-18 22:24:48,refund,1665.75,$,glasgow,iphone 13,2025-07-18,1665.75,22,18,7,2025,48.98833333333334,False,False,high,smart,False,High,3276.8208183333336,-1611.0708183333336
user1000 2025-07-19 14:37:54 purchase 2501.81 birmingham iphone 13,user1000,2025-07-19 14:37:54,purchase,2501.81,none,birmingham,iphone 13,2025-07-19,2501.81,14,19,7,2025,16.218333333333334,False,False,moderate,smart,False,Low,3250.4098213114758,-748.5998213114758
2025-07-20 17:23:20 - user=user1000 - action=purchase £846.74 - atm: leeds - device=huawei p30,user1000,2025-07-20 17:23:20,purchase,846.74,£,leeds,huawei p30,2025-07-20,1126.1642000000002,17,20,7,2025,26.75722222222222,False,True,moderate,smart,False,Low,3238.3356306451615,-2112.1714306451613
2025-07-21 00:13:34 | user: user1000 | txn: deposit of $4859.83 from birmingham | device: nokia 3310,user1000,2025-07-21 00:13:34,deposit,4859.83,$,birmingham,nokia 3310,2025-07-21,4859.83,0,21,7,2025,6.8372222222222225,False,False,low,non-smart,False,High,3204.8091000000004,1655.0208999999995
2025-07-23 11:44:09 | user: user1000 | txn: transfer of $1522.7 from manchester | device: xiaomi mi 11,user1000,2025-07-23 11:44:09,transfer,1522.7,$,manchester,xiaomi mi 11,2025-07-23,1522.7,11,23,7,2025,59.50972222222222,False,False,high,smart,False,Low,3230.6688015625,-1707.9688015625
usr:user1000|cashout|€1001.97|none|2025-07-24 04:18:43|pixel 6,user1000,2025-07-24 04:18:43,cashout,1001.97,€,none,pixel 6,2025-07-24,1603.152,4,24,7,2025,16.57611111111111,False,False,high,smart,False,High,3204.3923584615386,-1601.2403584615386
2025-07-25 02:33:24 >> [user1000] did withdrawal - amt=£4510.63 - cardiff // dev:iphone 13,user1000,2025-07-25 02:33:24,withdrawal,4510.63,£,cardiff,iphone 13,2025-07-25,5999.137900000001,2,25,7,2025,22.244722222222222,False,False,high,smart,False,High,3180.1311409090913,2819.0067590909093
26/07/2025 19:00:33 ::: user1000 *** withdrawal ::: amt:902.62$ @ glasgow <none>,user1000,2025-07-26 19:00:33,withdrawal,902.62,$,glasgow,none,2025-07-26,902.62,19,26,7,2025,40.4525,False,False,high,non-smart,False,Low,3222.2058686567166,-2319.5858686567167
2025-07-28 00:26:00::user1000::cashout::1114.48::london::pixel 6,user1000,2025-07-28 00:26:00,cashout,1114.48,none,london,pixel 6,2025-07-28,1114.48,0,28,7,2025,29.424166666666668,False,False,high,smart,False,High,3188.094311764706,-2073.614311764706
usr:user1000|deposit|€1729.38|manchester|2025-07-29 07:54:17|samsung galaxy s10,user1000,2025-07-29 07:54:17,deposit,1729.38,€,manchester,samsung galaxy s10,2025-07-29,2767.0080000000003,7,29,7,2025,31.47138888888889,False,False,low,smart,False,Low,3158.041930434783,-391.03393043478263
30/07/2025 06:30:13 ::: user1000 *** top-up ::: amt:2070.5£ @ cardiff <samsung galaxy s10>,user1000,2025-07-30 06:30:13,top-up,2070.5,£,cardiff,samsung galaxy s10,2025-07-30,2753.7650000000003,6,30,7,2025,22.59888888888889,False,False,low,smart,False,High,3152.4557314285717,-398.6907314285713
user1000 2025-07-30 14:25:51 withdrawal 2157.19 liverpool none,user1000,2025-07-30 14:25:51,withdrawal,2157.19,none,liverpool,none,2025-07-30,2157.19,14,30,7,2025,7.927222222222222,False,False,high,non-smart,False,Low,3146.8403690140844,-989.6503690140844
2025-07-30 19:12:52 | user: user1000 | txn: top-up of €2600.8 from cardiff | device: nokia 3310,user1000,2025-07-30 19:12:52,top-up,2600.8,€,cardiff,nokia 3310,2025-07-30,4161.280000000001,19,30,7,2025,4.783611111111111,False,False,low,non-smart,False,Low,3133.095225,1028.1847750000006
user1000 2025-07-31 09:41:19 withdrawal 966.27 glasgow xiaomi mi 11,user1000,2025-07-31 09:41:19,withdrawal,966.27,none,glasgow,xiaomi mi 11,2025-07-31,966.27,9,31,7,2025,14.474166666666667,False,False,high,smart,False,Low,3147.1799479452056,-2180.9099479452057
user1001 2025-06-01 15:05:41 cashout 4517.8 cardiff none,user1001,2025-06-01 15:05:41,cashout,4517.8,none,cardiff,none,2025-06-01,4517.8,15,1,6,2025,-1.0,False,False,high,non-smart,False,Low,4517.8,0.0
user1001 2025-06-04 20:07:17 transfer 761.79 glasgow none,user1001,2025-06-04 20:07:17,transfer,761.79,none,glasgow,none,2025-06-04,761.79,20,4,6,2025,77.02666666666667,False,False,high,non-smart,False,Low,4517.8,-3756.01
2025-06-06 03:54:45 | user: user1001 | txn: transfer of €209.56 from none | device: samsung galaxy s10,user1001,2025-06-06 03:54:45,transfer,209.56,€,none,samsung galaxy s10,2025-06-06,335.29600000000005,3,6,6,2025,31.79111111111111,False,False,high,smart,True,High,2639.795,-2304.499
07/06/2025 19:20:03 ::: user1001 *** transfer ::: amt:342.99€ @ london <none>,user1001,2025-06-07 19:20:03,transfer,342.99,€,london,none,2025-06-07,548.784,19,7,6,2025,39.42166666666667,False,False,high,non-smart,False,Low,1871.6286666666667,-1322.8446666666669
12/06/2025 13:28:37 ::: user1001 *** debit ::: amt:4390.87£ @ liverpool <samsung galaxy s10>,user1001,2025-06-12 13:28:37,debit,4390.87,£,liverpool,samsung galaxy s10,2025-06-12,5839.8571,13,12,6,2025,114.14277777777778,False,False,moderate,smart,False,Low,1540.9175,4298.9396
2025-06-12 19:45:18::user1001::transfer::4214.67::cardiff::xiaomi mi 11,user1001,2025-06-12 19:45:18,transfer,4214.67,none,cardiff,xiaomi mi 11,2025-06-12,4214.67,19,12,6,2025,6.2780555555555555,False,False,high,smart,False,Low,2400.70542,1813.9645800000003
2025-06-13 12:43:03::user1001::transfer::81.74::liverpool::none,user1001,2025-06-13 12:43:03,transfer,81.74,none,liverpool,none,2025-06-13,81.74,12,13,6,2025,16.9625,False,False,high,non-smart,False,Low,2703.03285,-2621.2928500000003
2025-06-14 06:37:39 >> [user1001] did purchase - amt=£1413.53 - none // dev:nokia 3310,user1001,2025-06-14 06:37:39,purchase,1413.53,£,none,nokia 3310,2025-06-14,1879.9949000000001,6,14,6,2025,17.91,False,False,moderate,non-smart,True,High,2328.562442857143,-448.56754285714305
2025-06-15 11:43:42 >> [user1001] did deposit - amt=£1381.86 - glasgow // dev:pixel 6,user1001,2025-06-15 11:43:42,deposit,1381.86,£,glasgow,pixel 6,2025-06-15,1837.8738,11,15,6,2025,29.100833333333334,False,False,low,smart,False,Low,2272.4915,-434.6177
usr:user1001|purchase|$2457.73|liverpool|2025-06-16 09:03:16|iphone 13,user1001,2025-06-16 09:03:16,purchase,2457.73,$,liverpool,iphone 13,2025-06-16,2457.73,9,16,6,2025,21.32611111111111,False,False,moderate,smart,False,Low,2224.2006444444446,233.5293555555554
2025-06-18 18:38:44 | user: user1001 | txn: debit of €1537.67 from manchester | device: none,user1001,2025-06-18 18:38:44,debit,1537.67,€,manchester,none,2025-06-18,2460.2720000000004,18,18,6,2025,57.59111111111111,False,False,moderate,non-smart,False,Low,2247.5535800000002,212.71842000000015
user1001 2025-06-18 23:34:17 transfer 367.3 london samsung galaxy s10,user1001,2025-06-18 23:34:17,transfer,367.3,none,london,samsung galaxy s10,2025-06-18,367.3,23,18,6,2025,4.925833333333333,False,False,high,smart,False,High,2266.8916181818186,-1899.5916181818186
2025-06-19 11:42:25 >> [user1001] did cashout - amt=€3473.24 - manchester // dev:nokia 3310,user1001,2025-06-19 11:42:25,cashout,3473.24,€,manchester,nokia 3310,2025-06-19,5557.184,11,19,6,2025,12.135555555555555,False,False,high,non-smart,False,Low,2108.5923166666666,3448.5916833333335
user1001 2025-06-23 13:46:33 withdrawal 3532.78 leeds iphone 13,user1001,2025-06-23 13:46:33,withdrawal,3532.78,none,leeds,iphone 13,2025-06-23,3532.78,13,23,6,2025,98.06888888888889,False,False,high,smart,False,Low,2373.8686,1158.9114000000004
2025-06-24 20:54:29::user1001::top-up::920.49::leeds::xiaomi mi 11,user1001,2025-06-24 20:54:29,top-up,920.49,none,leeds,xiaomi mi 11,2025-06-24,920.49,20,24,6,2025,31.13222222222222,True,False,low,smart,False,Low,2456.6479857142854,-1536.1579857142854
2025-06-26 13:24:25 | user: user1001 | txn: transfer of €294.21 from manchester | device: nokia 3310,user1001,2025-06-26 13:24:25,transfer,294.21,€,manchester,nokia 3310,2025-06-26,470.736,13,26,6,2025,40.49888888888889,False,False,high,non-smart,False,Low,2354.2374533333336,-1883.5014533333338
user1001 2025-06-28 04:45:27 cashout 4660.82 glasgow samsung galaxy s10,user1001,2025-06-28 04:45:27,cashout,4660.82,none,glasgow,samsung galaxy s10,2025-06-28,4660.82,4,28,6,2025,39.35055555555556,False,False,high,smart,False,High,2236.5186125,2424.3013874999997
2025-06-28 13:16:19 | user: user1001 | txn: debit of €146.8 from birmingham | device: iphone 13,user1001,2025-06-28 13:16:19,debit,146.8,€,birmingham,iphone 13,2025-06-28,234.88000000000002,13,28,6,2025,8.514444444444445,False,False,moderate,smart,False,Low,2379.124576470588,-2144.244576470588
usr:user1001|cashout|£3135.26|birmingham|2025-06-30 08:43:40|samsung galaxy s10,user1001,2025-06-30 08:43:40,cashout,3135.26,£,birmingham,samsung galaxy s10,2025-06-30,4169.8958,8,30,6,2025,43.45583333333333,True,False,high,smart,False,Low,2259.999877777778,1909.8959222222225
2025-06-30 10:03:04 >> [user1001] did top-up - amt=£996.37 - london // dev:xiaomi mi 11,user1001,2025-06-30 10:03:04,top-up,996.37,£,london,xiaomi mi 11,2025-06-30,1325.1721,10,30,6,2025,1.3233333333333333,False,False,low,smart,False,Low,2360.520715789474,-1035.3486157894738
2025-07-01 03:57:46 | user: user1001 | txn: withdrawal of €4567.36 from manchester | device: iphone 13,user1001,2025-07-01 03:57:46,withdrawal,4567.36,€,manchester,iphone 13,2025-07-01,7307.776,3,1,7,2025,17.911666666666665,False,False,high,smart,False,High,2308.753285,4999.022715
usr:user1001|transfer|€550.01|birmingham|2025-07-03 00:03:27|none,user1001,2025-07-03 00:03:27,transfer,550.01,€,birmingham,none,2025-07-03,880.0160000000001,0,3,7,2025,44.094722222222224,False,False,high,non-smart,False,High,2546.801985714286,-1666.7859857142857
